1 23 20
14 98 14
45 37 12
23 10 15
73 98 18
65 71 15
56 36 10
26 97 10
61 78 18
38 63 14
91 3 16
6 93 16
79 12 18
4 49 15
56 67 16
70 20 12
69 63 19
74 45 16
76 94 20
14 18 19
81 45 10
14 22 17
32 50 19
5 59 11
59 15 10
22 39 20
25 2 10
71 20 15
52 68 13
90 5 15
82 90 17
46 32 16
98 84 18
80 49 20
14 13 14
97 73 19
78 72 14
51 61 20
17 61 14
100 31 18
33 27 14
53 8 18
16 79 17
98 84 15
73 37 19
10 79 16
45 73 13
21 40 12
5 53 17
34 93 10
33 75 13
36 79 10
3 52 10
49 33 12
91 48 16
11 100 15
11 95 12
59 57 15
11 25 19
36 82 12
59 33 14
93 85 12
30 56 15
27 11 16
68 58 11
72 20 16
5 52 20
19 51 11
85 57 19
17 1 13
70 99 18
82 15 17
61 8 19
19 79 11
50 27 16
73 19 19
9 99 15
80 13 18
76 95 18
17 99 18
80 18 17
29 71 18
1 8 16
83 80 11
72 57 16
22 26 19
28 3 12
93 28 20
12 27 18
61 59 19
44 52 16
47 52 17
50 1 19
70 41 18
79 53 13
37 62 14
74 78 14
46 56 15
88 26 19
46 44 17
74 90 10
22 65 19
100 53 10
75 67 15
39 17 10
61 3 19
31 34 12
5 2 11
85 13 18
65 96 11
34 99 15
19 31 13
48 11 13
56 22 11
6 88 12
46 5 18
82 48 10
38 3 20
62 41 17
91 97 10
94 81 12
8 89 15
32 58 18
91 27 11
17 5 10
45 44 17
3 9 11
9 67 15
79 57 19
5 78 18
68 33 12
15 10 19
73 69 13
30 4 19
99 100 20
11 90 14
31 82 19
7 39 19
29 42 11
86 67 17
39 34 15
97 47 11
65 84 13
28 76 15
78 28 19
78 1 10
39 19 12
49 2 10
93 65 16
75 70 15
29 12 11
53 66 10
1 83 17
68 92 14
96 19 10
54 60 14
21 86 12
66 25 18
33 57 17
4 97 12
18 23 12
1 11 20
54 4 16
36 73 13
75 44 12
82 83 16
15 86 11
15 21 10
12 71 20
68 62 19
37 70 10
29 64 18
43 56 11
65 25 16
66 27 19
28 25 12
52 75 18
99 65 11
40 100 17
65 99 19
5 66 20
86 10 11
13 48 14
84 7 16
59 93 19
19 86 10
73 61 11
2 33 10
71 37 16
86 22 20
50 69 15
70 97 19
75 25 10
97 2 11
82 25 18
6 84 17
82 22 11
48 29 16
35 10 16
95 26 18
