7 6 17
8 10 19
3 8 13
3 10 11
1 8 11
8 10 10
2 9 10
4 9 13
9 9 19
2 9 17
6 5 11
10 2 15
8 8 11
8 3 19
3 2 15
8 9 20
2 5 11
3 4 16
7 5 20
2 4 10
6 3 15
6 1 18
7 3 20
3 5 13
8 4 20
6 8 13
2 8 12
5 5 13
10 5 18
1 3 17
10 9 19
3 8 14
1 7 14
5 7 15
10 1 19
2 6 20
7 4 15
1 10 14
10 7 15
6 8 16
3 1 17
5 10 17
3 4 13
6 4 15
2 5 15
5 10 12
9 4 20
5 3 14
9 2 18
10 10 12
9 5 19
5 8 10
6 10 10
3 2 11
1 4 13
10 5 11
2 8 16
5 10 10
1 8 13
7 3 15
9 10 19
6 7 10
4 5 19
1 4 18
2 2 17
4 5 20
1 1 12
2 7 15
7 9 15
8 10 15
1 2 13
4 1 15
9 9 14
9 9 11
7 6 10
3 6 11
5 2 19
7 2 11
7 6 20
1 9 14
9 10 15
5 10 13
9 7 20
4 4 15
7 3 10
8 9 10
6 8 10
8 10 20
8 9 18
3 6 19
5 7 10
1 5 12
4 8 12
1 4 14
5 8 12
10 9 18
2 6 16
3 9 11
10 4 15
1 2 10
